Facility|MS-DRG |Expected  Payment
GGH|847|11,819.00
GGH|848|8,972.46
GGH|849|18,711.19
GGH|853|44,009.40
GGH|854|19,012.43
GGH|855|14,264.75
GGH|856|38,283.10
GGH|857|17,924.02
GGH|858|12,333.86
GGH|862|16,369.25
GGH|863|9,028.62
GGH|864|7,832.12
GGH|865|12,477.66
GGH|866|7,587.89
GGH|867|19,216.67
GGH|868|9,956.19
GGH|869|6,939.42
GGH|870|54,439.98
GGH|871|16,502.85
GGH|872|9,465.16
GGH|876|31,596.86
GGH|880|7,912.96
GGH|881|7,592.99
GGH|882|7,341.94
GGH|883|11,995.16
GGH|884|12,858.07
GGH|885|10,963.76
GGH|886|12,071.76
GGH|887|9,880.45
GGH|894|5,559.98
GGH|895|14,465.58
GGH|896|15,255.31
GGH|897|7,614.26
GGH|901|37,444.86
GGH|902|17,358.95
GGH|903|10,356.16
GGH|904|30,723.74
GGH|905|14,784.71
GGH|906|15,435.72
GGH|907|34,571.93
GGH|908|18,177.62
GGH|909|11,842.83
GGH|913|13,183.99
GGH|914|7,953.82
GGH|915|15,080.01
GGH|916|6,009.30
GGH|917|13,072.52
GGH|918|7,292.58
GGH|919|16,153.94
GGH|920|9,194.56
GGH|921|6,497.77
GGH|922|14,267.30
GGH|923|7,986.15
GGH|927|170,338.01
GGH|928|53,338.80
GGH|929|25,652.70
GGH|933|27,343.61
GGH|934|16,022.06
GGH|935|17,064.51
GGH|939|31,719.41
GGH|940|19,953.62
GGH|941|17,050.89
GGH|945|13,005.28
GGH|946|9,871.09
GGH|947|10,809.73
GGH|948|7,255.15
GGH|949|9,887.27
GGH|950|6,925.82
GGH|951|5,611.88
GGH|955|52,365.27
GGH|956|34,007.72
GGH|957|64,731.85
GGH|958|36,284.97
GGH|959|24,452.81
GGH|963|23,811.17
GGH|964|13,330.36
GGH|965|8,425.26
GGH|969|50,001.22
GGH|970|25,444.20
GGH|974|23,375.45
GGH|975|12,041.11
GGH|976|8,400.58
GGH|977|11,687.96
GGH|981|38,836.23
GGH|982|21,368.82
GGH|983|14,552.38
GGH|987|28,990.28
GGH|988|15,243.40
GGH|989|10,427.63
GGH|998|#VALUE!
GGH|999|#VALUE!
LMC|1|180,912.78
LMC|2|91,890.38
LMC|3|124,179.81
LMC|4|75,746.96
LMC|5|67,700.44
LMC|6|32,139.04
LMC|7|70,795.91
LMC|8|37,003.18
LMC|10|26,284.06
LMC|11|32,608.99
LMC|12|24,963.14
LMC|13|16,147.94
LMC|14|83,662.14
LMC|16|45,298.10
LMC|17|29,364.51
LMC|20|71,022.71
LMC|21|54,373.42
LMC|22|32,530.58
LMC|23|37,009.73
LMC|24|26,548.11
LMC|25|29,018.75
LMC|26|20,203.56
LMC|27|15,961.01
LMC|28|36,835.21
LMC|29|21,257.17
LMC|30|15,146.62
LMC|31|28,888.02
LMC|32|14,623.73
LMC|33|11,413.22
LMC|34|24,830.43
LMC|35|15,343.34
LMC|36|11,740.67
LMC|37|21,494.42
LMC|38|11,245.24
LMC|39|7,690.29
LMC|40|26,050.73
LMC|41|15,796.30
LMC|42|12,376.63
LMC|52|10,942.63
LMC|53|6,610.54
LMC|54|9,055.00
LMC|55|6,740.59
LMC|56|14,625.71
LMC|57|8,209.91
LMC|58|13,072.06
